Date,True_Net_PnL_After_Fees,net pnl
2025-11-20 00:00:00,-2.124814264,-1.062407132
2025-11-21 00:00:00,-2.124683331,-1.062341666
2025-11-22 00:00:00,1.9158306,0.9579153
2025-11-23 00:00:00,-2.2440004,-1.1220002
2025-11-24 00:00:00,1.914509,0.9572545
2025-11-25 00:00:00,1.9150046,0.9575023
2025-11-26 00:00:00,1.9163262,0.9581631
2025-11-27 00:00:00,-2.212412366,-1.106206183
2025-11-28 00:00:00,1.9162436,0.9581218
2025-11-29 00:00:00,1.9144677,0.95723385
2025-11-30 00:00:00,1.9141373,0.95706865
2025-12-01 00:00:00,-2.248213,-1.1241065
2025-12-02 00:00:00,1.9156654,0.9578327
2025-12-03 00:00:00,1.916161,0.9580805
2025-12-04 00:00:00,1.9146329,0.95731645
2025-12-05 00:00:00,1.9156241,0.95781205
2025-12-06 00:00:00,1.9164088,0.9582044
2025-12-07 00:00:00,1.9145503,0.95727515
2025-12-08 00:00:00,-2.2448264,-1.1224132
2025-12-09 00:00:00,1.91692505,0.958462525
2025-12-10 00:00:00,1.9159132,0.9579566
2025-12-11 00:00:00,1.9150872,0.9575436
2025-12-12 00:00:00,-2.2511866,-1.1255933
2025-12-13 00:00:00,1.9160784,0.9580392
2025-12-14 00:00:00,1.9162436,0.9581218
2025-12-15 00:00:00,1.9166566,0.9583283
2025-12-16 00:00:00,1.9173174,0.9586587
2025-12-17 00:00:00,1.9143438,0.9571719
2025-12-18 00:00:00,1.9160784,0.9580392
2025-12-19 00:00:00,-2.2463132,-1.1231566
2025-12-20 00:00:00,1.9160371,0.95801855
2025-12-21 00:00:00,1.9157067,0.95785335
2025-12-22 00:00:00,-2.2518474,-1.1259237
2025-12-23 00:00:00,1.9154176,0.9577088
2025-12-24 00:00:00,1.9152524,0.9576262
2025-12-25 00:00:00,1.914922,0.957461
2025-12-26 00:00:00,-2.136066449,-1.068033225
2025-12-27 00:00:00,1.915748,0.957874
2025-12-28 00:00:00,1.9160784,0.9580392
2025-12-29 00:00:00,-2.2520126,-1.1260063
2025-12-30 00:00:00,1.9149633,0.95748165
